hsr_value,code,product_name,brands,categories,categories_tags,labels,labels_tags,countries,nutriscore_grade,nova_group,energy-kj_100g,energy_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g,energy_kj_100g,sugar_energy_ratio,category_primary
1.5,9310015248757,Burger rings,Smiths,"Snacks, Salty snacks",en:snacks|en:salty-snacks,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:Australia,d,4.0,,2126.0,62.5926,2.5926,25.1852,1.8519,6.6667,,2.39814825,0.9592593,2126.0,0.0012194731890874883,snacks
1.5,26246802,Protein Bars Salted Caramel,,"Dietary supplements, Bodybuilding supplements, Protein bars",en:dietary-supplements|en:bodybuilding-supplements|en:protein-bars,"Sustainable, Sustainable Palm Oil, Health Star Rating, Health Star Rating 1.5",en:sustainable|en:sustainable-palm-oil|en:health-star-rating|en:health-star-rating-1-5,en:au,d,4.0,,2033.0,35.8,19.2,24.2,5.5,26.5,,0.471,0.1884,2033.0,0.009444171175602558,dietary-supplements
1.5,9300601767762,Pain au chocolat,Coles,"Snacks, Sweet snacks, Viennoiseries, Chocolate croissant",en:snacks|en:sweet-snacks|en:sweet-pastries-and-pies|en:viennoiseries|en:chocolate-croissant,"Fair trade, Fairtrade International, No artificial flavors, Australian made, Health Star Rating, Health Star Rating 1.5, No artificial colors, No artificial colours or flavours, en:vegan",en:vegetarian|en:fair-trade|en:fairtrade-international|en:no-artificial-flavors|en:vegan|en:australian-made|en:health-star-rating|en:health-star-rating-1-5|en:no-artificial-colors|en:no-artificial-colours-or-flavours,au,e,4.0,,1610.0,47.8,15.1,17.6,11.1,7.09,3.09,0.968,0.387,1610.0,0.00937888198757764,snacks
1.5,9310645402970,Margaret River Shiraz Beef Sausages,Coles Finest,,,"Australian made, Health Star Rating, Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,,,988.0,6.51,1.2,16.1,8.07,15.5,1.45,1.45,0.58,988.0,0.0012145748987854252,
1.5,9339687220694,Lamingtons fingers,Woolworths,"Snacks, Desserts, Sweet snacks, Biscuits and cakes, Cakes, Chocolate soft cake",en:snacks|en:desserts|en:sweet-snacks|en:biscuits-and-cakes|en:cakes|en:chocolate-soft-cake,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,Australia,e,4.0,,1389.0,53.2,29.0,9.9,8.1,4.7,4.6,0.625,0.25,1389.0,0.02087832973362131,snacks
1.5,9310645182636,Tartare Sauce,Coles,"Condiments, Sauces, Tartare sauces, Groceries",en:condiments|en:sauces|en:tartare-sauces|en:groceries,"Australian made, Health Star Rating, Health Star Rating 1.5",en:australian-made|en:health-star-rating|en:health-star-rating-1-5,en:Australia,d,4.0,1880.0,1880.0,13.3,9.1,44.2,3.1,1.0,0.0,0.691,0.2764,1880.0,0.004840425531914894,condiments
1.5,9300633561581,Tasty Shredded Cheese,Hillview,"Dairies, Fermented foods, Fermented milk products, Cheeses, Grated cheese",en:dairies|en:fermented-foods|en:fermented-milk-products|en:cheeses|en:grated-cheese,"Health Star Rating, Health Star Rating 1.5",en:health-star-rating|en:health-star-rating-1-5,en:Australia,d,,,1640.0,0.4,0.4,34.0,22.4,23.2,,1.71,0.684,1640.0,0.00024390243902439027,dairies
1.5,9300633454449,Free from gluten ginger nut biscuits,Woolworths,"Snacks,Sweet snacks,Specific products,Biscuits and cakes,Products for specific diets,Biscuits,Products without gluten",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:specific-products|en:biscuits|en:products-for-specific-diets|en:products-without-gluten,"Australian made,Health Star Rating,Health Star Rating 1.5,No lactose",en:australian-made|en:health-star-rating|en:health-star-rating-1-5|en:no-lactose,"Australia,New Zealand",e,4.0,1770.0,1770.0,69.4,34.6,14.3,3.2,3.5,,0.21,0.084,1770.0,0.019548022598870056,snacks
1.5,9339687106738,Granola cookies,Woolworths,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits,"Vegetarian, Vegan, Health Star Rating, Health Star Rating 1.5",en:vegetarian|en:vegan|en:health-star-rating|en:health-star-rating-1-5,en:au,e,4.0,,1970.0,64.8,35.6,19.6,8.89,6.48,3.52,0.824,0.33,1970.0,0.018071065989847715,snacks
1.5,26004631,Energy food drink,,,,"No preservatives, Health Star Rating, Health Star Rating 1.5",en:no-preservatives|en:health-star-rating|en:health-star-rating-1-5,en:Australia,unknown,4.0,,1803.0,68.3,45.1,26.0,6.8,6.1,,0.39,0.156,1803.0,0.025013865779256794,
